tweet,date,city,user_location,place,coordinates,id,link
"@LarryGuira @RoyBarreras El sistema económico no va a cambiar un carajo, ¿Barack cambio algo en la libre economía Norteamericana? El es el líder de todo este proceso. En Colombia si sería peligroso un Petro o una Claudia Lopez, allá no hay peligro de cambios profundos",2020-11-08 19:39:08,Bogota,Ibagué colombia,,,1325523268309282817,https://twitter.com/i/web/status/1325523268309282817
"Hace más de un año recorríamos las calles de #bogotá junto con Claudia López, para que llegará por primera vez una mujer al palacio Liévano. 

En unos años volveremos, pero está vez para que sea una mujer quien llegue por primera vez a la casa de Nariño!! https://t.co/P3m1zXg8BM",2020-11-08 19:32:10,Bogota,Bogotá Colombia,,,1325521511860539397,https://twitter.com/i/web/status/1325521511860539397
@Stella40309908 @ELTIEMPO Jajajaja!!! En serio? Claudia Lopez y Santos estadistas? Hay por Dios,2020-11-08 19:30:11,Bogota,Bogota-Colombia,,,1325521013162041347,https://twitter.com/i/web/status/1325521013162041347
"Trump - Extrema derecha
Uribe - Extrema derecha 
Biden - Derecha
Fajardo - Derecha 
Claudia López - Centro derecha
Robledo - Izquierda
Petro - Acomodado de izquierda
Morris- Al fondo a la izquierda.",2020-11-08 19:04:16,Bogota,"Villavicencio, Colombia","Place(_api=<tweepy.api.API object at 0x0000022EE8103D90>, id='011932b747a077bc', url='https://api.twitter.com/1.1/geo/id/011932b747a077bc.json', place_type='city', name='Villavicencio', full_name='Villavicencio, Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022EE8103D90>, type='Polygon', coordinates=[[[-73.7705739969965, 3.91530799594263], [-73.1702369961713, 3.91530799594263], [-73.1702369961713, 4.26127500467929], [-73.7705739969965, 4.26127500467929]]]), attributes={})",,1325514490415353857,https://twitter.com/i/web/status/1325514490415353857
@ClaudiaLopez Señora Claudia hágase esta pregunta  ¿ yo Claudia  López  los estoy haciendo bien como alcaldesa  de bogota ? Hay le dejo ese tip repitase  esa pregunta  todos los días,2020-11-08 18:29:23,Bogota,Bogotá Colombia ,,,1325505711628054534,https://twitter.com/i/web/status/1325505711628054534
#Entrevistas. 'Es injusto que me acusen de xenófoba’: Claudia López. La alcaldesa de Bogotá habla de su primer año. Dice que es injusto que la acusen de xenófoba. https://t.co/hqDRBBkXBw,2020-11-08 18:21:15,Bogota,Bogotá,"Place(_api=<tweepy.api.API object at 0x0000022EE8103D90>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022EE8103D90>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1325503667131326471,https://twitter.com/i/web/status/1325503667131326471
A Claudia Lopez le quedó grande gobernar la capital. Ese cargo no es para ella. Claudia Lopez es solo una bocona irascible de temperamento muy fuerte pero de carácter muy débil. Hay que sacarla constitucionalmente nobse puede dejar que acabe con la ciudad en manos de una inepta,2020-11-08 18:09:45,Bogota,"Bogotá, D.C., Colombia","Place(_api=<tweepy.api.API object at 0x0000022EE8103D90>, id='008db04b585e0046', url='https://api.twitter.com/1.1/geo/id/008db04b585e0046.json', place_type='city', name='Cogua', full_name='Cogua, Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022EE8103D90>, type='Polygon', coordinates=[[[-74.0608640017796, 5.01308099855038], [-73.9213389964621, 5.01308099855038], [-73.9213389964621, 5.15388399811263], [-74.0608640017796, 5.15388399811263]]]), attributes={})",,1325500773254488065,https://twitter.com/i/web/status/1325500773254488065
"Curioso como los seguidores de todos los sectores políticos atacan a los medios cuando se meten con su agenda o sus caudillos. Hoy el turno fue para los verdes por el video que publicó La Silla Vacía sobre Claudia López.

Iguales todos.",2020-11-08 18:04:00,Bogota,"Bogotá, Colombia.",,,1325499327142375424,https://twitter.com/i/web/status/1325499327142375424
@mjsarmientoa @petrogustavo Que ánimo de atacar a Petro cuando en nuestro terruño defienden a Claudia López que nos está jodiendo a punta de corrupción y Transmilenio.,2020-11-08 18:03:46,Bogota,Bogotá,,,1325499266777935872,https://twitter.com/i/web/status/1325499266777935872
@CarlosCarrilloA Los que seguimos la cosa política sabemos que carrillo nunca apoyo a Claudia López.,2020-11-08 18:01:17,Bogota,Bogotá,,,1325498643307225089,https://twitter.com/i/web/status/1325498643307225089
"@IDusque @IvanDuque Parte de una mentira gigantesca ,Duque no compro votos,es una mentira q se han inventado porq uds los mamertos no ganaron,En cambio uds si tienen un historial d fraude con sus maestros de jurados . Ej CLaudia López compro votos y aun sigue girando alimentándolos para el futuro",2020-11-08 17:46:59,Bogota,"Cota, Colombia",,,1325495042874761216,https://twitter.com/i/web/status/1325495042874761216
"@NCriistia @Etson85904876 @ClaudiaLopez Ese es el problema.... Que el único mérito de Claudia López en la alcaldía es ser mujer y lesbiana pero de administrar y solucionar temas importantes para la ciudad nada, su discurso se queda en que ella es mujer y lesbiana y que los problemas de la ciudad son culpa de otros.",2020-11-08 17:22:06,Bogota,Bogota,,,1325488783324663809,https://twitter.com/i/web/status/1325488783324663809
"@mjsarmientoa @petrogustavo Sarmiento es un político supremamente mediocre. Pero es un excelente carga maletas, sabe que no puede referirse a Claudia López porque le quitan las cuotas. Lo más chistoso es que los del Moir lo gradúan casi que de intelectual jajaja",2020-11-08 17:10:57,Bogota,Bogotá,,,1325485974990827521,https://twitter.com/i/web/status/1325485974990827521
Los policías venezolanos dirá Claudia López https://t.co/cgsivrPszy,2020-11-08 16:39:33,Bogota,Santa Fe de Bogota,,,1325478072439672833,https://twitter.com/i/web/status/1325478072439672833
